ID_Programa;Programa educativo;Institución educativa;País;Modalidad;FECHA INICIO;FECHA FIN ;Cuota total;Cuota mensual;Numero de cuotas
1;SQL AVANZADO ;Cibertec;Perú;Virtual;15/07/2025;15/09/2025;912;76;12
2;MATEMATICA PARA CIENCIA DE DATOS ;Universidad Ricardo Palma;Perú;Virtual;4/05/2025;20/07/2025;600;600;1
3;INTELIGENCIA ARTIFICIAL GENERATIVA;Universidad Ricardo Palma;Perú;Virtual;5/04/2025;14/06/2025;2040;510;4
4;MACHINE LEARNING OPERATIONS - MLOPS;UTEC;Perú;Virtual;29/04/2025;28/06/2025;3700;925;4
5;SERIES DE TIEMPO Y FORECASTING;Universidad Ricardo Palma;Perú;Virtual;19/07/2025;4/10/2025;2040;510;4
6;MICROMASTERS PROGRAM IN STATISTICS AND DATA SCIENCE;MIT;USA;Híbrido;5/05/2025;5/05/2027;25830;1291.5;20
